Title (w/ year),Country,Language,Release_Date
Fists of the White Lotus (1980) ,"
Country:
Hong Kong
","
Language:
Cantonese
|
Mandarin
","
Release Date: 1 January 1980 (Hong Kong)
    
See more »
    
"
Erkek Güzeli Sefil Bilo (1979) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: 1979 (Turkey)
    
See more »
    
"
Ne Olacak Simdi (1979) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: 1979 (Turkey)
    
See more »
    
"
Umudumuz Saban (1979) ,"
Country:
Turkey
","
Language:
Turkish
", ~data not found~ 
Sark Bülbülü (1979) ,"
Country:
Turkey
","
Language:
Turkish
", ~data not found~ 
Korkusuz Korkak (1979) ,"
Country:
Turkey
","
Language:
Turkish
", ~data not found~ 
Dokunmayin Sabanima (1979) ,"
Country:
Turkey
","
Language:
Turkish
", ~data not found~ 
Bekçiler Krali (1979) ,"
Country:
Turkey
","
Language:
Turkish
", ~data not found~ 
Return of the Secaucus Seven (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 5 September 1980 (USA)
    
See more »
    
"
Savage Weekend (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 1979 (USA)
    
See more »
    
"
Arrebato (1979) ,"
Country:
Spain
","
Language:
Spanish
","
Release Date: 26 August 1983 (Portugal)
    
See more »
    
"
Olsen-banden overgiver sig aldrig (1979) ,"
Country:
Denmark
","
Language:
Danish
","
Release Date: 26 December 1979 (Denmark)
    
See more »
    
"
Going in Style (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 December 1979 (USA)
    
See more »
    
"
Scavenger Hunt (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 21 December 1979 (USA)
    
See more »
    
"
Cuba (1979) ,"
Country:
USA
","
Language:
English
|
Spanish
|
French
","
Release Date: 21 December 1979 (USA)
    
See more »
    
"
Being There (1979) ,"
Country:
West Germany
|
USA
","
Language:
English
|
Russian
|
Italian
","
Release Date: 8 February 1980 (USA)
    
See more »
    
"
Roller Boogie (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 21 December 1979 (USA)
    
See more »
    
"
The Magnificent Butcher (1979) ,"
Country:
Hong Kong
","
Language:
Cantonese
|
Mandarin
","
Release Date: 19 December 1979 (Hong Kong)
    
See more »
    
"
I... comme Icare (1979) ,"
Country:
France
","
Language:
French
","
Release Date: 19 December 1979 (France)
    
See more »
    
"
Buffet froid (1979) ,"
Country:
France
","
Language:
French
","
Release Date: 19 December 1979 (France)
    
See more »
    
"
The Human Factor (1979) ,"
Country:
UK
","
Language:
English
","
Release Date: January 1980 (UK)
    
See more »
    
"
The Black Hole (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 21 December 1979 (USA)
    
See more »
    
"
Kramer vs. Kramer (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 19 December 1979 (USA)
    
See more »
    
"
The Electric Horseman (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 21 December 1979 (USA)
    
See more »
    
"
All That Jazz (1979) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 20 December 1979 (USA)
    
See more »
    
"
Lupin the 3rd: Castle of Cagliostro (1979) ,"
Country:
Japan
","
Language:
Japanese
|
English
|
French
","
Release Date: 15 December 1979 (Japan)
    
See more »
    
"
The Jerk (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 14 December 1979 (USA)
    
See more »
    
"
"Du är inte klok, Madicken (1979) ","
Country:
Sweden
","
Language:
Swedish
","
Release Date: 14 December 1979 (Sweden)
    
See more »
    
"
1941 (1979) ,"
Country:
USA
","
Language:
English
|
Japanese
|
German
|
Spanish
","
Release Date: 14 December 1979 (USA)
    
See more »
    
"
Star Trek: The Motion Picture (1979) ,"
Country:
USA
","
Language:
English
|
Klingon
","
Release Date: 8 December 1979 (USA)
    
See more »
    
"
Bear Island (1979) ,"
Country:
UK
|
Canada
","
Language:
English
","
Release Date: 26 December 1979 (UK)
    
See more »
    
"
I'm for the Hippopotamus (1979) ,"
Country:
Italy
|
South Africa
","
Language:
Italian
|
English
","
Release Date: 5 December 1979 (South Africa)
    
See more »
    
"
Don't Go in the House (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 28 March 1980 (USA)
    
See more »
    
"
The Day Time Ended (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 1980 (UK)
    
See more »
    
"
Fascination (1979) ,"
Country:
France
","
Language:
French
","
Release Date: November 1979 (West Germany)
    
See more »
    
"
French Fried Vacation 2 (1979) ,"
Country:
France
","
Language:
French
","
Release Date: 22 November 1979 (France)
    
See more »
    
"
Last Hurrah for Chivalry (1979) ,"
Country:
Hong Kong
","
Language:
Cantonese
","
Release Date: 22 November 1979 (Hong Kong)
    
See more »
    
"
The Silent Scream (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 18 January 1980 (USA)
    
See more »
    
"
Beyond the Darkness (1979) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 1 June 1984 (USA)
    
See more »
    
"
The Rose (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 7 November 1979 (USA)
    
See more »
    
"
Don Giovanni (1979) ,"
Country:
France
|
Italy
|
West Germany
","
Language:
Italian
","
Release Date: 14 November 1979 (France)
    
See more »
    
"
The Great Alligator (1979) ,"
Country:
Italy
","
Language:
Italian
|
English
","
Release Date: 3 November 1979 (Italy)
    
See more »
    
"
The Kid with the Golden Arm (1979) ,"
Country:
Hong Kong
","
Language:
Mandarin
","
Release Date: 2 November 1979 (Hong Kong)
    
See more »
    
"
Microwave Massacre (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 31 August 1983 (USA)
    
See more »
    
"
The Great Santini (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 26 October 1979 (USA)
    
See more »
    
"
Tess (1979) ,"
Country:
UK
|
France
","
Language:
English
","
Release Date: 12 December 1980 (USA)
    
See more »
    
"
Meteor (1979) ,"
Country:
USA
|
Hong Kong
","
Language:
English
|
Russian
","
Release Date: 19 October 1979 (USA)
    
See more »
    
"
The Jesus Film (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 19 October 1979 (USA)
    
See more »
    
"
The Black Stallion (1979) ,"
Country:
USA
","
Language:
English
|
Arabic
|
Italian
","
Release Date: 17 October 1979 (USA)
    
See more »
    
"
Starting Over (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 5 October 1979 (USA)
    
See more »
    
"
10 (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 5 October 1979 (USA)
    
See more »
    
"
Disco Godfather (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: September 1979 (USA)
    
See more »
    
"
Thirst (1979) ,"
Country:
Australia
","
Language:
English
","
Release Date: 29 September 1979 (USA)
    
See more »
    
"
Yanks (1979) ,"
Country:
UK
","
Language:
English
","
Release Date: 2 November 1979 (UK)
    
See more »
    
"
Mama Turns 100 (1979) ,"
Country:
Spain
|
France
","
Language:
Spanish
","
Release Date: September 1988 (USA)
    
See more »
    
"
And Justice for All (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 19 October 1979 (USA)
    
See more »
    
"
The Bugs Bunny/Road-Runner Movie (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 28 September 1979 (USA)
    
See more »
    
"
Scum (1979) ,"
Country:
UK
","
Language:
English
","
Release Date: 28 September 1979 (UK)
    
See more »
    
"
Time After Time (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 28 September 1979 (USA)
    
See more »
    
"
The Onion Field (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 28 February 1980 (UK)
    
See more »
    
"
Camera Buff (1979) ,"
Country:
Poland
","
Language:
Polish
","
Release Date: 14 February 1980 (Netherlands)
    
See more »
    
"
The Clonus Horror (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: August 1979 (USA)
    
See more »
    
"
Osenniy marafon (1979) ,"
Country:
Soviet Union
","
Language:
Russian
","
Release Date: 23 November 1979 (Finland)
    
See more »
    
"
Luna (1979) ,"
Country:
Italy
|
USA
","
Language:
Italian
|
English
","
Release Date: 30 September 1979 (USA)
    
See more »
    
"
'Hukkunud Alpinisti' hotell (1979) ,"
Country:
Soviet Union
","
Language:
Estonian
|
Russian
","
Release Date: 27 August 1979 (Estonia)
    
See more »
    
"
Zombie (1979) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 18 July 1980 (USA)
    
See more »
    
"
When a Stranger Calls (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 26 October 1979 (USA)
    
See more »
    
"
Black Stone (1979) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 24 August 1979 (India)
    
See more »
    
"
The Seduction of Joe Tynan (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 17 August 1979 (USA)
    
See more »
    
"
Monty Python's Life of Brian (1979) ,"
Country:
UK
","
Language:
English
|
Latin
","
Release Date: 17 August 1979 (USA)
    
See more »
    
"
Caligula (1979) ,"
Country:
Italy
","
Language:
Italian
|
English
","
Release Date: 15 February 1980 (USA)
    
See more »
    
"
Uno sceriffo extraterrestre... poco extra e molto terrestre (1979) ,"
Country:
Italy
","
Language:
Italian
|
English
","
Release Date: 10 August 1979 (West Germany)
    
See more »
    
"
Doing Time (1979) ,"
Country:
UK
","
Language:
English
","
Release Date: 16 November 1979 (USA)
    
See more »
    
"
Mission Galactica: The Cylon Attack (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 1979 (USA)
    
See more »
    
"
Ginga tetsudô Three-Nine (1979) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 8 August 1981 (USA)
    
See more »
    
"
North Dallas Forty (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 3 August 1979 (USA)
    
See more »
    
"
More American Graffiti (1979) ,"
Country:
USA
","
Language:
English
|
Icelandic
","
Release Date: 3 August 1979 (USA)
    
See more »
    
"
The Concorde... Airport '79 (1979) ,"
Country:
USA
","
Language:
English
|
French
|
Spanish
","
Release Date: 17 August 1979 (USA)
    
See more »
    
"
The Amityville Horror (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 27 July 1979 (USA)
    
See more »
    
"
The Villain (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 27 July 1979 (USA)
    
See more »
    
"
Tim (1979) ,"
Country:
Australia
","
Language:
English
","
Release Date: 13 July 1979 (Australia)
    
See more »
    
"
Dracula (1979) ,"
Country:
UK
","
Language:
English
|
Dutch
|
Romanian
|
Russian
","
Release Date: 20 July 1979 (USA)
    
See more »
    
"
Breaking Away (1979) ,"
Country:
USA
","
Language:
English
|
Italian
|
French
","
Release Date: 20 July 1979 (USA)
    
See more »
    
"
Over the Edge (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 7 July 1979 (Japan)
    
See more »
    
"
The Frisco Kid (1979) ,"
Country:
USA
","
Language:
English
|
Yiddish
","
Release Date: 13 July 1979 (USA)
    
See more »
    
"
Avalanche Express (1979) ,"
Country:
Ireland
|
USA
","
Language:
English
|
Russian
","
Release Date: 19 October 1979 (USA)
    
See more »
    
"
The Wanderers (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 4 July 1979 (USA)
    
See more »
    
"
Wanda Nevada (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: June 1979 (USA)
    
See more »
    
"
Killer Fish (1979) ,"
Country:
Italy
|
France
|
UK
","
Language:
English
|
Portuguese
|
Italian
","
Release Date: 7 December 1979 (USA)
    
See more »
    
"
Bloodline (1979) ,"
Country:
West Germany
|
USA
","
Language:
English
|
Italian
|
German
|
French
","
Release Date: 29 June 1979 (USA)
    
See more »
    
"
Meatballs (1979) ,"
Country:
Canada
","
Language:
English
","
Release Date: 29 June 1979 (USA)
    
See more »
    
"
The Apple Dumpling Gang Rides Again (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 27 June 1979 (USA)
    
See more »
    
"
Moonraker (1979) ,"
Country:
UK
|
France
","
Language:
English
|
Italian
|
Portuguese
","
Release Date: 29 June 1979 (USA)
    
See more »
    
"
Nightwing (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 June 1979 (USA)
    
See more »
    
"
The Main Event (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 June 1979 (USA)
    
See more »
    
"
Escape from Alcatraz (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 June 1979 (USA)
    
See more »
    
"
Prophecy (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 August 1979 (France)
    
See more »
    
"
The In-Laws (1979) ,"
Country:
USA
","
Language:
English
|
Spanish
|
Mandarin
","
Release Date: 12 September 1979 (France)
    
See more »
    
"
The Driller Killer (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 June 1979 (USA)
    
See more »
    
"
Butch and Sundance: The Early Days (1979) ,"
Country:
USA
","
Language:
English
|
Cantonese
","
Release Date: 1979 (UK)
    
See more »
    
"
Rocky II (1979) ,"
Country:
USA
","
Language:
English
|
Italian
","
Release Date: 15 June 1979 (USA)
    
See more »
    
"
Mr. Natwarlal (1979) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 8 June 1979 (India)
    
See more »
    
"
Siberiade (1979) ,"
Country:
Soviet Union
","
Language:
Russian
|
German
","
Release Date: 16 May 1980 (Finland)
    
See more »
    
"
My Brilliant Career (1979) ,"
Country:
Australia
","
Language:
English
","
Release Date: 17 August 1979 (Australia)
    
See more »
    
"
The Muppet Movie (1979) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 22 June 1979 (USA)
    
See more »
    
"
The Lady Vanishes (1979) ,"
Country:
UK
","
Language:
English
|
German
","
Release Date: March 1980 (USA)
    
See more »
    
"
H.O.T.S. (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: May 1979 (USA)
    
See more »
    
"
Greasy Kid Stuff (1979) ,"
Country:
Israel
|
West Germany
","
Language:
Hebrew
|
Polish
","
Release Date: 1979 (Israel)
    
See more »
    
"
The Prisoner of Zenda (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 17 August 1979 (USA)
    
See more »
    
"
The Brood (1979) ,"
Country:
Canada
","
Language:
English
","
Release Date: 25 May 1979 (USA)
    
See more »
    
"
Alien (1979) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 22 June 1979 (USA)
    
See more »
    
"
Wise Blood (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 17 February 1980 (USA)
    
See more »
    
"
Woyzeck (1979) ,"
Country:
West Germany
","
Language:
German
","
Release Date: 24 August 1979 (USA)
    
See more »
    
"
Apocalypse Now (1979) ,"
Country:
USA
","
Language:
English
|
French
|
Vietnamese
","
Release Date: 15 August 1979 (USA)
    
See more »
    
"
Hanover Street (1979) ,"
Country:
UK
","
Language:
English
|
German
","
Release Date: 13 September 1979 (UK)
    
See more »
    
"
A Force of One (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 18 May 1979 (USA)
    
See more »
    
"
Beyond the Poseidon Adventure (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 18 May 1979 (USA)
    
See more »
    
"
